Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0224-S05,,4/26/2018,12 to 16,,,,,76.04,0.1800,21.97,324.29,134.88,,,,0.0395,82.210,14.798,5.450,387.700,6.14,76.37,17.49,6.180,5.980,1.760,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49985351,-89.91759515
CRMS0224-S05,,4/26/2018,16 to 20,,,,,81.64,0.1600,32.75,324.29,94.70,,,,0.0524,137.510,22.002,7.660,443.190,28.06,59.42,12.51,5.180,5.140,2.330,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49985351,-89.91759515
CRMS0224-S05,,4/26/2018,20 to 24,,,,,84.35,0.1400,34.47,324.29,71.36,,,,0.0483,142.410,19.937,8.210,441.130,35.30,54.72,9.98,4.790,4.710,2.350,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49985351,-89.91759515
CRMS0224-S06,,4/26/2018,0 to 4,,,,,79.26,0.1900,32.25,324.29,86.01,,,,0.0613,139.240,26.456,8.340,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49967135,-89.91751819
CRMS0224-S06,,4/26/2018,4 to 8,,,,,71.50,0.3200,19.41,324.29,67.81,,,,0.0621,70.310,22.499,4.460,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49967135,-89.91751819
CRMS0224-S06,,4/26/2018,8 to 12,,,,,69.01,0.3400,18.34,324.29,75.66,,,,0.0624,69.110,23.497,4.280,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49967135,-89.91751819
CRMS0224-S06,,4/26/2018,12 to 16,,,,,70.79,0.2700,18.41,324.29,109.01,,,,0.0497,68.340,18.452,4.560,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49967135,-89.91751819
CRMS0224-S06,,4/26/2018,16 to 20,,,,,80.54,0.2000,33.97,324.29,55.11,,,,0.0679,137.400,27.480,7.700,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49967135,-89.91751819
CRMS0224-S06,,4/26/2018,20 to 24,,,,,82.91,0.1900,37.57,324.29,28.83,,,,0.0714,156.950,29.821,8.690,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; T. Loeb; M. Nieder,Juncus roemerianus is dominant species.  Marsh not flooded.,29.49967135,-89.91751819

